first_publish_year,keyword,book_mentions,keyword_count,weighted_keyword_count
2017,realm,6,7,45.02126105847887
2017,rebellion,2,2,14.842508650502383
2017,robot,2,2,11.133399113909945
2017,school,25,39,244.5008489111905
2017,space,12,16,99.45998635254242
2017,vampire,5,8,47.26655417845473
2017,wizard,1,1,6.11931469705182
2018,academy,2,6,31.415105824157393
2018,alien,4,6,37.517151234034394
2018,angel,2,3,17.531338849986554
2018,apocalypse,3,3,18.389914269685278
2018,court,7,11,74.95922129979942
2018,curse,5,8,52.80590873970338
2018,demon,4,7,37.35941344440271
2018,district,1,1,7.677709695946828
2018,dragon,4,5,29.143733098737698
2018,fae,1,1,8.384942327403833
2018,ghost,5,5,34.02405802986826
2018,kingdom,19,27,175.57634938735993
2018,love,35,45,285.8014871839825
2018,magic,26,42,275.8693048032137
2018,mate,1,1,6.40250739236273
2018,prophecy,3,7,46.255971317090456
2018,realm,7,8,48.09632579975654
2018,rebellion,3,5,29.595070058592704
2018,robot,2,3,20.3611038612784
2018,school,22,27,173.23345265487063
2018,space,4,7,47.30557638855983
2018,vampire,3,3,17.00694077285401
2018,wizard,1,1,7.028110213603453
2019,academy,5,7,45.58113527429041
2019,alien,3,3,18.54570076888147
2019,angel,1,1,6.677946668960217
2019,apocalypse,1,1,5.224016743274406
2019,court,4,6,41.68560245861806
2019,curse,3,7,50.1194877728245
2019,demon,1,1,7.612850488662796
2019,dragon,2,3,17.993670552189844
2019,ghost,4,5,30.697730083364185
2019,kingdom,13,16,105.12551596255047
2019,love,20,31,204.91709539029267
2019,magic,25,46,294.7696567277333
2019,mate,1,1,6.301582105927728
2019,prophecy,2,2,13.447836362272206
2019,realm,2,2,13.024408992576678
2019,rebellion,2,2,12.388348731652176
2019,school,10,13,83.2880658475587
2019,space,4,4,24.083834186633872
2020,academy,2,2,12.169798565905625
2020,alien,1,2,12.461682167817068
2020,apocalypse,1,1,5.94071658212417
2020,court,1,1,6.015464942825967
2020,curse,2,3,19.9576788343242
2020,demon,2,3,20.363793247910635
2020,district,1,1,7.288878574833402
2020,dragon,2,5,31.86820753573364
2020,dystopia,1,1,6.2949284150997435
2020,fae,2,3,17.791637915594965
2020,ghost,1,4,27.804498438953306
2020,kingdom,6,12,79.47105047655397
2020,love,5,7,49.29133691414278
2020,magic,7,8,47.877530752031625
2020,prophecy,3,3,19.069658699200737
2020,realm,2,2,12.183014901484242
2020,rebellion,1,1,6.1583892191377965
2020,school,1,3,13.382194895160456
2020,space,4,4,24.656781893216568
2020,vampire,2,2,13.439428718434373
2020,werewolf,1,1,6.255897316383204
2021,demon,1,1,5.755193811925836
2021,kingdom,1,1,5.796462899682647
2021,love,2,2,12.100712403487963
2021,magic,1,1,5.796462899682647
2021,vampire,1,1,6.304249503805316
