word,weighted_share_after,book_mentions,weighted_share_before,era_transition,share_change
sarah,0.00029254382980369655,37.0,0.00011302054273326176,1997-2008 to 2009-2013,0.0001795232870704348
fall,0.0005670148509619926,119.0,0.0003876367796778272,1997-2008 to 2009-2013,0.00017937807128416542
damon,0.0001793684700595544,16.0,0.0,1997-2008 to 2009-2013,0.0001793684700595544
knew,0.0005163378388246982,103.0,0.000337152076863809,1997-2008 to 2009-2013,0.00017918576196088924
control,0.0007899796652171147,155.0,0.0006114155393090903,1997-2008 to 2009-2013,0.00017856412590802444
relationship,0.00037767062994094894,80.0,0.0001998054131188907,1997-2008 to 2009-2013,0.00017786521682205825
angels,0.000472862966920651,71.0,0.00029533816778346976,1997-2008 to 2009-2013,0.00017752479913718126
war,0.001558912926175855,264.0,0.0013818142881281928,1997-2008 to 2009-2013,0.0001770986380476621
entire,0.0005795398802312224,123.0,0.0004028839314370193,1997-2008 to 2009-2013,0.00017665594879420315
underworld,0.0003040518087042603,47.0,0.00012807690128341658,1997-2008 to 2009-2013,0.00017597490742084373
wolf,0.00047964362209618986,56.0,0.0003040407489685639,1997-2008 to 2009-2013,0.00017560287312762594
forget,0.00033424662035077727,67.0,0.00015910523295402542,1997-2008 to 2009-2013,0.00017514138739675185
truly,0.0003512958506587561,70.0,0.00017624114096148163,1997-2008 to 2009-2013,0.00017505470969727448
whole,0.0005008067381654245,104.0,0.0003258608790576899,1997-2008 to 2009-2013,0.00017494585910773463
known,0.0008903777774363038,180.0,0.0007154901974081242,1997-2008 to 2009-2013,0.00017488758002817966
too,0.0015492410184532593,299.0,0.0013744722482835856,1997-2008 to 2009-2013,0.00017476877016967375
debut,0.000345009903050329,73.0,0.0001703351042184556,1997-2008 to 2009-2013,0.00017467479883187339
pack,0.0003162471272230653,53.0,0.00014209868129615058,1997-2008 to 2009-2013,0.0001741484459269147
knowing,0.0002555773071569915,55.0,8.238716092941412e-05,1997-2008 to 2009-2013,0.0001731901462275774
nora,0.00017268350229847094,10.0,0.0,1997-2008 to 2009-2013,0.00017268350229847094
worth,0.0002583031139718352,50.0,8.608039683729823e-05,1997-2008 to 2009-2013,0.00017222271713453698
feeling,0.00023912557725846694,52.0,6.778730277496831e-05,1997-2008 to 2009-2013,0.00017133827448349864
adam,0.00020799995611283704,24.0,3.704663468859233e-05,1997-2008 to 2009-2013,0.0001709533214242447
caitlin,0.000170465942776384,7.0,0.0,1997-2008 to 2009-2013,0.000170465942776384
either,0.0003169763905549857,66.0,0.0001465440669206304,1997-2008 to 2009-2013,0.0001704323236343553
killed,0.0005105617305154892,105.0,0.00034073519846557665,1997-2008 to 2009-2013,0.00016982653204991257
torn,0.00036706591207786443,78.0,0.0001973222988864308,1997-2008 to 2009-2013,0.00016974361319143364
got,0.00044546111196425245,85.0,0.00027571939131274697,1997-2008 to 2009-2013,0.00016974172065150548
touch,0.00032503319052061563,57.0,0.00015575586296249488,1997-2008 to 2009-2013,0.00016927732755812075
logan,0.00019837397627117364,22.0,2.9695960920908998e-05,1997-2008 to 2009-2013,0.00016867801535026464
becomes,0.0008637833803577482,180.0,0.0006952929216994672,1997-2008 to 2009-2013,0.00016849045865828104
connection,0.0003417963767111613,74.0,0.00017452173293460983,1997-2008 to 2009-2013,0.00016727464377655146
divergent,0.000167241876663902,13.0,0.0,1997-2008 to 2009-2013,0.000167241876663902
wakes,0.0002435666141892119,53.0,7.654667830846988e-05,1997-2008 to 2009-2013,0.000167019935880742
lies,0.0005408371353816158,112.0,0.0003752080928095725,1997-2008 to 2009-2013,0.0001656290425720433
race,0.0005921087104394472,112.0,0.000426546423905604,1997-2008 to 2009-2013,0.0001655622865338432
reality,0.0004035921768865931,87.0,0.00023890275295934004,1997-2008 to 2009-2013,0.00016468942392725304
