data_driven_era,book_share,rating_share,bbe_vote_share,series_flag,title_clean,primary_author
1997-2008,0.09278870398386284,0.8235676134745592,0.9527995440946003,standalone,The Death and Life of Charlie St. Cloud,Ben Sherwood
1997-2008,0.09329299041855774,0.8241951975493408,0.9529348910101154,series,Wintersmith,Terry Pratchett
1997-2008,0.09379727685325265,0.8248194664894438,0.9529918791850691,series,Shadow Puppets,Orson Scott Card
1997-2008,0.09430156328794756,0.8254331618947299,0.9533338082347913,series,Succubus Blues,Richelle Mead
1997-2008,0.09480584972264246,0.826046740979501,0.9533623023222682,blockbuster_franchise,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",J.K. Rowling
1997-2008,0.09531013615733737,0.82664583816015,0.9535973785439521,series,The Novice,Trudi Canavan
1997-2008,0.09581442259203228,0.8272420273279231,0.9539464311155436,series,The High Lord,Trudi Canavan
1997-2008,0.09631870902672718,0.8278374720443998,0.9540390368998433,series,The People of Sparks,Jeanne DuPrau
1997-2008,0.09682299546142209,0.8284272752158973,0.9544023365151731,series,Feast of Fools,Rachel Caine
1997-2008,0.09732728189611699,0.8290164269925105,0.9544593246901268,series,Princess in Love,Meg Cabot
1997-2008,0.0978315683308119,0.829604845949879,0.9546587833024648,series,A Living Nightmare,Darren Shan
1997-2008,0.09833585476550681,0.830193136954681,0.9549935888303177,series,Noughts & Crosses,Malorie Blackman
1997-2008,0.09884014120020171,0.8307808463569077,0.9551289357458327,series,Erak's Ransom,John Flanagan
1997-2008,0.09934442763489662,0.8313629025821038,0.9551645533551788,series,Physik,Angie Sage
1997-2008,0.09984871406959153,0.8319445167893426,0.9553497649237783,standalone,Elsewhere,Gabrielle Zevin
1997-2008,0.10035300050428643,0.8325257471388817,0.9555349764923778,series,The Name of This Book Is Secret,Pseudonymous Bosch
1997-2008,0.10085728693898134,0.8331059422358371,0.955641829320416,series,The Fairy-Tale Detectives,Michael Buckley
1997-2008,0.10136157337367625,0.8336837294981312,0.9557059410172389,series,Mortal Engines,Philip Reeve
1997-2008,0.10186585980837115,0.8342614586001678,0.9558270408890155,series,Lady Knight,Tamora Pierce
1997-2008,0.10237014624306606,0.8348384548829596,0.9559695113263997,series,Squire,Tamora Pierce
1997-2008,0.10287443267776097,0.835414404281116,0.9560336230232227,series,One False Note,Gordon Korman
1997-2008,0.10337871911245587,0.8359873758740876,0.9561618464168685,series,Vampire Kisses,Ellen Schreiber
1997-2008,0.10388300554715078,0.8365593587426813,0.9574725744408036,series,You Are Special,Max Lucado
1997-2008,0.1043872919818457,0.8371301784061247,0.9575438096594957,series,Lord Brocktree,Brian Jacques
1997-2008,0.10489157841654059,0.8376942980079018,0.9575936743125801,series,Shadow of the Giant,Orson Scott Card
1997-2008,0.1053958648512355,0.8382572427724772,0.957721897706226,series,The Warrior Heir,Cinda Williams Chima
1997-2008,0.1059001512859304,0.8388120799971543,0.9578145034905258,series,"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy",Jeanne Birdsall
1997-2008,0.10640443772062531,0.8393635439268955,0.9579498504060407,standalone,The Arrival,Shaun Tan
1997-2008,0.10690872415532023,0.8399141819809798,0.9580495797122097,series,The Adoration of Jenna Fox,Mary E. Pearson
1997-2008,0.10741301059001512,0.8404635986696563,0.9581706795839863,series,The Kings of Clonmel,John Flanagan
1997-2008,0.10791729702471003,0.8410113054467616,0.9582989029776321,series,The Merchant of Death,D.J. MacHale
1997-2008,0.10842158345940495,0.8415540104417204,0.9584057558056703,series,Little Brother,Cory Doctorow
1997-2008,0.10892586989409984,0.8420909808352879,0.9585197321555777,series,Page,Tamora Pierce
1997-2008,0.10943015632879476,0.8426150163875831,0.9586337085054851,series,Fire and Ice,Erin Hunter
1997-2008,0.10993444276348967,0.8431382260642216,0.9589970081208149,series,Lord of Misrule,Rachel Caine
1997-2008,0.11043872919818457,0.8436605051767398,0.9590967374269839,series,Savvy,Ingrid Law
1997-2008,0.11094301563287948,0.844182714496949,0.9591466020800684,series,Ender in Exile,Orson Scott Card
1997-2008,0.11144730206757439,0.8447045050633041,0.9597592249608207,standalone,Just So Stories,Rudyard Kipling
1997-2008,0.11195158850226929,0.8452153847653486,0.9597663484826898,series,Captain Underpants and the Attack of the Talking Toilets,Dav Pilkey
1997-2008,0.1124558749369642,0.845724112537865,0.9616113406468157,blockbuster_franchise,The Twilight Collection,Stephenie Meyer
1997-2008,0.1129601613716591,0.8462310024462437,0.9617965522154153,series,The Mysterious Benedict Society and the Perilous Journey,Trenton Lee Stewart
